Text,Label,Types
What size are you?,Not-Bullying ,
Thank you for being a part of my life.,Bullying ,Sexual
"Yes, that image is similar to that of a hero.",Bullying,Troll
"Memes are a dkhe tomorow at noon, please.",Bullying,Troll
"How amusing you are on Tiktok, Chalaw",Bullying,Troll
Best wishes on your well-earned success!,Bullying,Vocational
Enjoy it—you've worked so hard for it!,Bullying,Vocational
Your accomplishments never cease to motivate us all.,Not-Bullying,
"You could do it, I knew it! Well done!",Not-Bullying,
Why do Muslims insist that women dress modestly and remain at home?,Not-Bullying,
Lucky Charms offends me.,Not-Bullying,
Any terrorist must be taken by the police.,Bullying ,Religious 
This video deserves to go viral.,Bullying ,Vocational 
All people are threatened by nuclear weapons.,Bullying ,Threats 
We're hoping the kidnappers won't make good on their threat to kill the captives.,Bullying ,Threats 
Any terrorist must be taken by the police.,Bullying ,Threats 
Three major railway stations were shut down.,Bullying ,Threats 
Police security was made available to the prosecution's main witness after she received,Bullying ,Threats 
This video deserves to go viral.,Bullying ,Sexual
All people are threatened by nuclear weapons.,Bullying ,Sexual
We're hoping the kidnappers won't make good on their threat to kill the captives.,Bullying ,Threats 
Any terrorist must be taken by the police.,Bullying ,Threats 
Three major railway stations were shut down.,Bullying ,Threats 
Police security was made available to the prosecution's main witness after she received,Bullying ,Threats 
I appreciate you sharing your amazing tale.,Bullying ,Threats 
So many of us can relate to what you've gone through. It's not just you.,Bullying ,Sexual
"It takes guts to share something like this, so bravo. You're having an impact.",Not-Bullying,
Inspiration for a fresh endeavor:,Not-Bullying,
What a shame for those who were harmed or vulnerable by it.,Not-Bullying,
"On your forehead, get a tattoo of that stuff.",Not-Bullying,
I am quite grateful for your warm sentiments. I'm a huge fan of your voice.,Bullying,Sexual
This isn't going to work since none of us are 12 years old or younger.,Bullying,Vocational
You appear to be gorgeous!,Bullying,Ethnicity
My day is made brighter by your grin!,Not-Bullying,
This article made me chuckle. I appreciate you sharing!,Bullying,Threat
I want to go to the club with you.,Bullying,Sexual
Sexting party in Cholo,Bullying,Sexual
"If you ever need to chat, let me know.",Bullying,Sexual
I can picture how difficult that must be.,Bullying,Sexual
Love and good energies are being sent your way at this trying time.,Not-Bullying,
"Your emotions are legitimate, and I'm here to help you.",Not-Bullying,
I really enjoy watching your TikTok videos; they're so fun.,Not-Bullying,
.. They are adorable. .I'm sad to learn that some individuals believe all Thai K-POP fans despise them since they're not,Not-Bullying,
"Hey girl, 1000 tk every night",Not-Bullying ,
You're a moron.,Bullying,Troll
I composed some orchestral pieces.,Bullying ,Sexual
What a shame for those who were harmed or vulnerable by it.,Bullying ,Vocational 
"On your forehead, get a tattoo of that stuff.",Not-Bullying,
I am quite grateful for your warm sentiments. I'm a huge fan of your voice.,Bullying,Sexual
This isn't going to work since none of us are 12 years old or younger.,Bullying,Vocational
You appear to be gorgeous!,Bullying,Ethnicity
My day is made brighter by your grin!,Not-Bullying,
You totally owned the stage! Such an amazing performance!,Bullying,Ethnicity
"You truly have gifted the world with your artistic abilities. Create more!""",Bullying,Ethnicity
I'm continually in awe of your imagination; it knows no limits.,Not-Bullying,
I'm looking forward to seeing what you do next since your work is a gem.,Not-Bullying,
promoting progress and personal development:,Not-Bullying,
"Dawg, I want to make this woman suffer.",Not-Bullying,
"You supplied passages from the Qur'an that mention all Muslims going to Hell, you fool, respond to my allegations.",Not-Bullying,
"How about you, little nigga, quit asking questions?",Bullying,Sexual
Jinna asked for direct action to slaughter Hindus in order to split India on the basis of Islam.,Bullying,Religion
Tit Tut Tit India,Bullying,Ethnicity
Well done; I was engrossed from start to finish.,Bullying ,Vocational 
when a person announces good news:,Bullying ,Threats 
I'm your closest pal from Bangladesh.,Not-Bullying,
"I've been floating like clouds in your head, honey; I'm not tired at all.",Not-Bullying,
Cakor tui ranur bokacoda,Bullying,Troll
"Hahaha, well then, be careful.",Bullying ,Sexual
"It might be scary to start something new, but I know you can do it.",Bullying,Vocational
Accept this chance with confidence; you're up to the task.,Bullying,Troll
"Go for it, I can't wait to see where this trip takes you!",Not-Bullying,
Manus the tmi job krona ki ble,Not-Bullying,
I want to get an automobile.,Not-Bullying,
You're my spouse.,Bullying,Vocational 
She appears to be a bitch.,Not-Bullying ,
He assaulted his wife while drinking booze.,Not-Bullying ,
Eid is the worst day of the month.,Bullying,Sexual
"A fool would claim that the world is flat, like a carpet.",Bullying ,Religion 
Islam was proclaimed to be a whole religion by the prophet Muhammad (s.a.w.,Bullying ,Religion
Sexy,Bullying ,Vocational 
My system is operational in this room.,Bullying ,Religion
"You, lusser, are a fuckboy.",Bullying ,Sexual
resent them.,Not-Bullying,
"Undoubtedly, you are a loser.",Bullying,Vocational
I need you fucked.,Bullying ,Vocational
Yours is mine,Bullying,Threats
You murdered him.,Bullying,Vocational 
I believe one of your first senses to die is sensation.,Bullying ,Religion 
What is making us all crazy in this country is racism.,Bullying,Threats 
"You idiots, let the law do its due diligence!",Bullying,Ethnicity
How are your pals who are all idiot ninnies any assistance to you?,Bullying,Ethnicity
"Sexy chick, wow.",Bullying ,Ethnicity
Please remain with me for one night.,Bullying,Ethnicity
I'm continually in awe of your imagination; it knows no limits.,Bullying ,Sexual
I'm looking forward to seeing what you do next since your work is a gem.,Bullying,Sexual
promoting progress and personal development:,Not-Bullying,
"Keep improving, your dedication to self-improvement is admirable.",Not-Bullying,
You're doing well! Every day is an opportunity to become a better version of yourself.,Not-Bullying,
Your commitment to personal development is an investment in your success in the long run.,Not-Bullying,
What excellent news for you! I'm so pleased for you!,Not-Bullying,
We are all happy for you and your achievement.,Not-Bullying,
The most exciting thing I've heard all day is this!,Not-Bullying,
Your optimism spreads like wildfire!,Not-Bullying,
Hot women,Not-Bullying,
"It might be scary to start something new, but I know you can do it.",Not-Bullying,
Accept this chance with confidence; you're up to the task.,Bullying,Sexual
"Go for it, I can't wait to see where this trip takes you!",Not-Bullying,
how dull the political system is,Bullying,Troll
How did bal besi get?,Bullying,Threat
"Without our sex night, it couldn't have happened.",Bullying,Sexual
The population speaks far too much,Bullying,Sexual
Thank you for your dedication; you've earned this promotion.,Bullying,Sexual
You make a tremendous contribution to the group. You are a valuable member of our team.,Bullying,Ethnicity
Your accomplishments set a high bar for us all to aim for.,Not-Bullying,
Thanking a friend for their friendship:,Not-Bullying,
To have a buddy like you is a blessing. I appreciate you being there for me.,Not-Bullying,
I value our friendship immensely. I treasure our time together.,Not-Bullying,
You are one of the brightest threads in the life's tapestry.,Not-Bullying,
People are careless with their posts.,Not-Bullying,
The management position is detrimental to society.,Not-Bullying,
The Society is able to address all of its negative aspects.,Bullying,Ethnicity
Social folks are far too negative.,Bullying,Ethnicity
The memes are funny like you,Bullying,Ethnicity
This image is beautiful beyond words. You are quite talented at catching special moments.,Bullying,Sexual
You brilliantly encapsulated the essence of the situation.,Bullying,Sexual
Your photographic talent is remarkable; each image conveys a narrative.,Not-Bullying,
expressing respect for knowledge in others:,Not-Bullying,
Let's discuss sex.,Not-Bullying,
Let's discuss the garbage team.,Bullying,Religion
Your behind is far too hot.,Bullying,Religion
The people of mango are terrible.,Bullying,Political
Your observations always provide a new angle. You teach me so much.,Bullying,Sexual
Your knowledge serves as a beacon in my life.,Bullying,Ethnicity
Your breadth of knowledge and understanding never ceases to amaze and inspire me.,Not-Bullying,
lauding a leader's ability to lead:,Not-Bullying,
You're a rabbinical.,Not-Bullying,
Her productivity level is far too low.,Not-Bullying,
This is what I want to do.,Not-Bullying,
I'm serious!,Not-Bullying ,
Damn fine,Not-Bullying ,
I adore this location,Not-Bullying ,
Screw this,Bullying ,Sexual
You're lying.,Bullying ,Vocational 
"Regards, Kitty",Not-Bullying ,
You identify as a third gender.,Bullying ,Troll
janle uthan baka at night,Bullying ,Troll
expecting you,Not-Bullying ,
I abhor you.,Not-Bullying ,
"Hey girl, I go to bed at night.",Bullying ,Sexual
Lucky Charms offends me.,Bullying ,Vocational 
All people are threatened by nuclear weapons.,Bullying ,Threats 
Any terrorist must be taken by the police.,Bullying ,Threats 
We're hoping the kidnappers won't make good on their threat to kill the captives.,Bullying ,Threats 
Three major railway stations were shut down.,Bullying ,Threats 
Police security was made available to the prosecution's main witness after she received,Bullying ,Threats 
It would stun you to realize that Allah is the one and only true God if you are not a Muslim till the day of judgment.,Bullying,Religion
"This weekend, expect unrest from the hardline Christians who support him.",Bullying,Religion
It's just another workday.,Not-Bullying,
"Dawg, I want to make this woman suffer.",Bullying,Sexual
"Answer my questions, you moron. Verses from the Qur'an that mention all Muslims going to Hell were given to me.",Bullying,Religion
"How about you, little nigga, quit asking questions?",Bullying,Ethnicity
Jinna asked for direct action to slaughter Hindus in order to split India on the basis of Islam.,Bullying,Religion
viewing a film,Not-Bullying ,
Your noods are fierce.,Bullying ,Sexual
I now know what to watch tomorrow while having breakfast.,Not-Bullying,
"You are a terrible student, hehe",Bullying ,Troll
It's a beautiful video!,Not-Bullying ,
This video deserves to go viral.,Bullying ,Threats 
"My buddy, you are the upcoming tik-tok mega star.",Bullying ,Troll
I can't believe it's you; continue developing and acting.,Bullying ,Vocational 
I really enjoy watching your TikTok videos; they're so fun.,Not-Bullying ,
.. They are adorable. .I'm sad to learn that some individuals believe all Thai K-POP fans despise them since they're not,Bullying,Troll
"Hey girl, 1000 tk every night",Bullying ,Sexual
I composed some orchestral pieces.,Not-Bullying,
What a shame for those who were harmed or vulnerable by it.,Bullying,Sexual
"On your forehead, get a tattoo of that stuff.",Not-Bullying,
I am quite grateful for your warm sentiments. I'm a huge fan of your voice.,Not-Bullying,
This isn't going to work since none of us are 12 years old or younger.,Not-Bullying,
You appear to be gorgeous!,Not-Bullying,
My day is made brighter by your grin!,Not-Bullying,
This article made me chuckle. I appreciate you sharing!,Not-Bulyying,
Your experiences are always so awesome!,Not-Bulllying,
I appreciate your support. You've saved my life!,Not-Bulllying,
Thank you for being a part of my life.,Not-Bulllying,
"Yes, that image is similar to that of a hero.",Bullying,Troll
"Memes are a dkhe tomorow at noon, please.",Bullying,Troll
"How amusing you are on Tiktok, Chalaw",Bullying,Troll
Your passion and perseverance are really remarkable.,Not-Bullying,
Let me know if you ever need a helping hand.,Not-Bullying,
I'm here to help you however I can.,Not-Bullying,
Never be reluctant to get in touch if you need anything.,Not-Bullying,
"Shoddy workmanship, please",Bullying,Troll
May your birthday be blessed with pleasure and happiness.,Not-Bullying,
"Enjoy your day, you're another year wiser and more amazing!",Not-Bullying,
Enjoy a wonderful birthday party as a reminder of how amazing you are!,Not-Bulyying,
When a person recounts a true story:,Not-Bullying,
Your photographic abilities are amazing; each image contains a narrative.,Not-Bullying,
"You lead by example, and your leadership style is admirable.",Not-Bullying,
It's admirable the way you manage difficulties and inspire your group.,Not-Bullying,
"A great leader, you bring out the best in everyone you work with!",Not-Bullying,
Your talent is limitless!,Not-Bullying,
You have a remarkable command of language.,Not-Bullying,
"No matter what, I'm here for you, and we'll get through this together.",Not-Bullying,
"I know you're tremendously strong, and I know you can get through this.",Not-Bullying,
I'm sending you all the energy and fortitude you need right now.,Not-Bullying,
recognizing creative talent in others,Not-Bullying,
You truly have gifted the world with your artistic abilities. Create more!,Not-Bullying,
"Your wedding was a magnificent occasion, and your love story is lovely.",Not-Bullying,
May your path as a couple be filled with unforgettable experiences and special moments.,Not-Bullying,
Your creative ability never ceases to surprise me.,Not-Bullying,
Your enthusiasm for [insert interest] is motivational.,Not-Bullying,
This isn't going to work since none of us are 12 years old or younger.,Not-Bullying,
You appear to be gorgeous!,Not-Bullying,
My day is made brighter by your grin!,Not-Bullying,
Have faith in yourself; you can do this.,Not-Bullying,
Keep trying; you're more resilient than you realize.,Not-Bullying,
Your commitment and effort are bearing fruit. Keep going!,Not-Bullying,
You've accomplished a goal that many others strive for. Good work!,Not-Bullying,
Your perseverance and ability are demonstrated by your achievement.,Not-Bullying,
OBOSTHA KORECO TOMAR CH,Bullyinfg,Vocational
"No matter what, I'm here for you.",Not-Bullying,
Your fortitude is admirable.,Not-Bullying,
Limit baje howar akta ace,Bullying,Ethnicity
The films they have are all of the adult variety.,Bullying,Ethnicity
You require a really warm clothing.,Bullying,Sexual
You appear too attractive.,Bullying,Sexual
Memes are shared widely and are often favorable.,Bullying,Troll
You are very innocent and lovely.,Not-Bullying ,
You are a pitiful failure even as a troll.,Bullying ,Troll
George Floyd would be ashamed of this.,Not-Bullying ,
I believe one of your first senses to die is sensation.,Not-Bullying ,
Law should use due diligence. You idiots!,Not-Bullying ,
Islam was proclaimed to be a whole religion by the prophet Muhammad (s.a.w.,Bullying ,Religion 
I'm serious!,Not-Bullying ,
Why do Muslims insist that women dress modestly and remain at home?,Bullying ,Religious 
Lucky Charms offends me.,Bullying ,Vocational 
Any terrorist must be taken by the police.,Bullying ,Threats 
This video deserves to go viral.,Bullying ,Threats 
All people are threatened by nuclear weapons.,Bullying ,Threats 
We're hoping the kidnappers won't make good on their threat to kill the captives.,Bullying ,Threats 
Any terrorist must be taken by the police.,Bullying ,Threats 
Three major railway stations were shut down.,Bullying ,Threats 
Police security was made available to the prosecution's main witness after she received,Bullying ,Threats 
"can't stop watching this, honestly",Not-Bullying ,
I composed some orchestral pieces.,Not-Bullying ,
What size are you?,Bullying ,Sexual
Thank you for being a part of my life.,Not-Bulllying,
HAH HA HA! A tumi eta koreco,Bullying,Troll
"Yes, that image is similar to that of a hero.",Bullying,Troll
"Memes are a dkhe tomorow at noon, please.",Bullying,Troll
"How amusing you are on Tiktok, Chalaw",Bullying,Troll
Best wishes on your well-earned success!,Not-Bullying,
Enjoy it—you've worked so hard for it!,Not-Bullying,
Your accomplishments never cease to motivate us all.,Not-Bullying,
"You could do it, I knew it! Well done!",Not-Bullying,
Why do Muslims insist that women dress modestly and remain at home?,Bullying ,Religious 
Lucky Charms offends me.,Bullying ,Vocational 
Any terrorist must be taken by the police.,Bullying ,Threats 
This video deserves to go viral.,Bullying ,Threats 
All people are threatened by nuclear weapons.,Bullying ,Threats 
We're hoping the kidnappers won't make good on their threat to kill the captives.,Bullying ,Threats 
Any terrorist must be taken by the police.,Bullying ,Threats 
Three major railway stations were shut down.,Bullying ,Threats 
Police security was made available to the prosecution's main witness after she received,Bullying ,Threats 
This video deserves to go viral.,Bullying ,Threats 
All people are threatened by nuclear weapons.,Bullying ,Threats 
We're hoping the kidnappers won't make good on their threat to kill the captives.,Bullying ,Threats 
Any terrorist must be taken by the police.,Bullying ,Threats 
Three major railway stations were shut down.,Bullying ,Threats 
Police security was made available to the prosecution's main witness after she received,Bullying ,Threats 
I appreciate you sharing your amazing tale.,Not-Bullying,
So many of us can relate to what you've gone through. It's not just you.,Not-Bullying,
"It takes guts to share something like this, so bravo. You're having an impact.",Not-Bullying,
Inspiration for a fresh endeavor:,Not-Bullying,
What a shame for those who were harmed or vulnerable by it.,Bullying,Sexual
"On your forehead, get a tattoo of that stuff.",Not-Bullying,
I am quite grateful for your warm sentiments. I'm a huge fan of your voice.,Not-Bullying,
This isn't going to work since none of us are 12 years old or younger.,Not-Bullying,
You appear to be gorgeous!,Not-Bullying,
My day is made brighter by your grin!,Not-Bullying,
This article made me chuckle. I appreciate you sharing!,Not-Bulyying,
I want to go to the club with you.,Bullying,Sexual
Sexting party in Cholo,Bullying,Sexual
"If you ever need to chat, let me know.",Not-Bullying,
I can picture how difficult that must be.,Not-Bullying,
Love and good energies are being sent your way at this trying time.,Not-Bullying,
"Your emotions are legitimate, and I'm here to help you.",Not-Bullying,
I really enjoy watching your TikTok videos; they're so fun.,Not-Bullying ,
.. They are adorable. .I'm sad to learn that some individuals believe all Thai K-POP fans despise them since they're not,Bullying,Troll
"Hey girl, 1000 tk every night",Bullying ,Sexual
I composed some orchestral pieces.,Not-Bullying,
What a shame for those who were harmed or vulnerable by it.,Bullying,Sexual
"On your forehead, get a tattoo of that stuff.",Not-Bullying,
I am quite grateful for your warm sentiments. I'm a huge fan of your voice.,Not-Bullying,
"Amarmoteo valo lageni, tumi ai kajti amar",Bullying,Vocational
Alakata kotota joghonno,Bullying,Ethnicity
This isn't going to work since none of us are 12 years old or younger.,Not-Bullying,
You appear to be gorgeous!,Not-Bullying,
My day is made brighter by your grin!,Not-Bullying,
You totally owned the stage! Such an amazing performance!,Not-Bullying,
"You truly have gifted the world with your artistic abilities. Create more!""",Not-Bullying,
I'm continually in awe of your imagination; it knows no limits.,Not-Bullying,
I'm looking forward to seeing what you do next since your work is a gem.,Not-Bullying,
promoting progress and personal development:,Not-Bullying,
"Dawg, I want to make this woman suffer.",Bullying,Sexual
"You supplied passages from the Qur'an that mention all Muslims going to Hell, you fool, respond to my allegations.",Bullying,Religion
"How about you, little nigga, quit asking questions?",Bullying,Ethnicity
Jinna asked for direct action to slaughter Hindus in order to split India on the basis of Islam.,Bullying,Religion
Well done; I was engrossed from start to finish.,Not-Bullying,
when a person announces good news:,Not-Bullying,
I'm your closest pal from Bangladesh.,Bullying,Troll
"I've been floating like clouds in your head, honey; I'm not tired at all.",Bullying ,Sexual
"Hahaha, well then, be careful.",Bullying,Troll
"It might be scary to start something new, but I know you can do it.",Not-Bullying,
Accept this chance with confidence; you're up to the task.,Not-Bullying,
"Go for it, I can't wait to see where this trip takes you!",Not-Bullying,
Manus the tmi job krona ki ble,Bullying,Vocational 
I want to get an automobile.,Not-Bullying ,
You're my spouse.,Not-Bullying ,
She appears to be a bitch.,Bullying,Sexual
He assaulted his wife while drinking booze.,Bullying,Vocational
Eid is the worst day of the month.,Bullying ,Religion 
"A fool would claim that the world is flat, like a carpet.",Bullying ,Religion
Your skill is more brilliant than the stars.,Not-Bullying,
I can sense your enthusiasm in each action you take.,Not-Bullying,
You have a gift that should be made available to everyone.,Not-Bullying,
This is just pure artistry in motion.,Not-Bullying,
You make it seem so simple; that takes real talent!,Not-Bullying,
Keep sharing your positivity; it is contagious!,Not-Bullying,
Every film you produce is a work of art.,Not-Bullying,
The most enjoyable aspect of this video is your smile.,Not-Bullying,
"I always look forward to what you'll share next,",Not-Bullying,
"Keep shining, you're an inspiration to us all.",Not-Bullying,
More people like you are needed in the world.,Not-Bullying,
Your spirit is so uplifted; I appreciate you making my day!,Not-Bullying,
You are living proof that effort pays off.,Not-Bullying,
I find it fascinating how you express yourself!,Not-Bullying,
"Your content brightens up my feed, I said.",Not-Bullying,
You're making more than simply films; you're making memories.,Not-Bullying,
Your capacity for creativity is endless.,Not-Bullying,
Keep pursuing your goals; you're headed in the right direction.,Not-Bullying,
"Your videos demonstrate your kind heart, which is evident.",Not-Bullying,
Thanks for being you; you make TikTok a better place.,Not-Bullying,
"Yes, that image is similar to that of a hero.",Bullying,Troll
"Memes are a dkhe tomorow at noon, please.",Bullying,Troll
"How amusing you are on Tiktok, Chalaw",Bullying,Troll
Best wishes on your well-earned success!,Not-Bullying,
Unrealities and Dreams,Not-Bullying,
Secrets and whispers,Not-Bullying,
"U sells condoms, ha ha",Bullying ,Troll
You are a rude person.,Bullying ,Vocational 
the start of world war,Bullying ,Ethnicity 
Anybody would be delighted to see your grin.,Not-Bullying,
May you achieve all of your goals and aspirations.,Not-Bullying,
You can refer to it as true love.,Not-Bullying,
"In every light, you appear flawless.",Not-Bullying,
Such a lovely image.,Not-Bullying,
"Wow, what a work of art.",Not-Bullying,
I just can't help but compliment you.,Not-Bullying,
What a wonderful picture this is.,Not-Bullying,
looking fantastic. Remain calm.,Not-Bullying,
A true gentleman looks like that.,Not-Bullying,
I'm really proud of you since you're doing such a wonderful job.,Not-Bullying,
This image is hot. Impressed.,Not-Bullying,
I was unaware of your latent abilities.,Not-Bullying,
One of the finest Facebook friends I have is you.,Not-Bullying,
Very attractive and fit.,Not-Bullying,
Love the photo. You performed admirably.,Not-Bullying,
"Excellent, you are in charge.",Not-Bullying,
You are such a clever person.,Not-Bullying,
Anybody would be delighted to see your grin.,Not-Bullying,
May you achieve all of your goals and aspirations.,Not-Bullying,
You can refer to it as true love.,Not-Bullying,
"In every light, you appear flawless.",Not-Bullying,
Such a lovely image.,Not-Bullying,
"Wow, what a work of art.",Not-Bullying,
I just can't help but compliment you.,Not-Bullying,
Your energy level is quite impressive.,Not-Bullying,
Next-level in terms of creativity.,Not-Bullying,
"Oh, the sweetness is too much for me to stomach.",Not-Bullying,
The finest thing to read in the morning is your posts.,Not-Bullying,
How come everyone of your posts is so flawless!,Not-Bullying,
"Well, the ""Like"" button is insufficient for a post like this.",Not-Bullying,
looks quite different from how you remember it. You look terrific.,Not-Bullying,
"Wow, you have such a great sense of style.",Not-Bullying,
Do you know what makes this photo so lovely? Everything.,Not-Bullying,
My opinion of you has totally altered as a result of this post.,Not-Bullying,
The next Facebook sensation is you. Roll on.,Not-Bullying,
How can you be so flawless—that's against the law.,Not-Bullying,
Such a wonderful image that it may make someone envious.,Bullying,Sexual
It's quite difficult to look away from this image.,Bullying,Sexual
You just leave us in awe with a whole makeover.,Bullying,Sexual
"Whatever you wear, you always look beautiful.",Bullying,Sexual
looking exceedingly attractive or handsome.,Bullying,Sexual
I want to meet you sometime since you seem like such a great person.,Bullying,Sexual
"Beyond praise and admiration, you are very beautiful.",Bullying,Sexual
No one emoticon or essay can adequately capture your personality.,Bullying,Sexual
"Despite comparison attempts from others, you are unique.",Bullying,Sexual
Always maintain your perfection and have fun.,Bullying,Sexual
You have such a fantastic profile picture.,Bullying,Sexual
"You're rocking the planet, I love the excitement.",Bullying,Sexual
Why is your DP so flawless in every way?,Bullying,Sexual
You look so cool or hot.,Bullying,Sexual
Limits for sob kico are otirikto kicoi vlo nh,Bullying,Sexual
Send me naked pictures.,Bullying,Sexual
I keep thinking about your body nonstop.,Bullying,Sexual
I desire you because you're so hot.,Bullying,Sexual
"If you don't do what I say, I'll make your life a living nightmare.",Bullying,Sexual
"You'd be wonderful in bed, I bet.",Bullying,Sexual
Your use of those images is begging for it.,Bullying,Sexual
"Even when you're unaware, I'm keeping an eye on you.",Bullying,Sexual
I want to see below their garments.,Bullying,Sexual
"Such a tease, you are.",Bullying,Sexual
"If you smiled more, you'd appear lot more attractive.",Bullying,Sexual
"For all the care I've given you, you owe me something.",Bullying,Sexual
"If you don't comply with my requests, I'll reveal those images.",Bullying,Sexual
"With you around, I lose control.",Bullying,Sexual
You ought to dress in more exposed clothing.,Bullying,Sexual
You're so attractive; it's annoying.,Bullying,Sexual
"When I think about you, I can't help but touch myself.",Bullying,Sexual
You ought to be honored by all the admiration.,Bullying,Sexual
"If you allow me, I can fulfill your fantasies.",Bullying,Sexual
"Such a prude, you are.",Bullying,Sexual
I'll make sure your rejection hurts.,Bullying,Sexual
You live where I do.,Bullying,Sexual
You're such a cold-blooded b*tch.,Bullying,Sexual
You are unable to reject me.,Bullying,Sexual
"In any case, I'm going to claim you as mine.",Bullying,Sexual
You're only being deceptive.,Bullying,Sexual
"If you don't do what I tell you to, I'll reveal you.",Bullying,Sexual
"To me, you are only some meat.",Bullying,Sexual
"Whether you realize it or not, you're manipulating me.",Bullying,Sexual
You ought to be appreciative of my time.,Bullying,Sexual
You're so stiff; let loose a little.,Bullying,Sexual
"If you don't cooperate, I'll reveal those photographs to everyone.",Bullying,Sexual
"When I see you, I can't control my urges.",Bullying,Sexual
You're only inviting trouble.,Bullying,Sexual
You'll regret turning me down.,Bullying,Sexual
I'll see to it that you pay for refusing.,Bullying,Sexual
I only use you as a toy.,Bullying,Sexual
I won't let you get away.,Bullying,Vocational
You should not have trusted me in the first place.,Bullying,Vocational
"You'll regret having crossed me, I promise.",Bullying,Vocational
"Nobody can resist me, not even you.",Bullying,Vocational
"Send me graphic images, or I'll leak your information.",Bullying,Vocational
You should feel honored by my interest.,Bullying,Vocational
"Until you consent to my approaches, I won't stop.",Bullying,Vocational
Your use of those images is begging for it.,Bullying,Vocational
"Relax, don't be such a prude.",Bullying,Vocational
"If you don't comply with my demands, I'll make your life miserable.",Bullying,Vocational
I may comment whenever I want on your physique.,Bullying,Vocational
"You must relish the spotlight, don't you?",Bullying,Vocational
I'll destroy your name if you don't send nudes.,Bullying,Vocational
"No matter what you do, you cannot ignore my messages.",Bullying,Vocational
"Until you reply, I'll keep sending you explicit stuff.",Bullying,Vocational
I guess you enjoy how I talk to you.,Bullying,Vocational
You're only being deceptive.,Bullying,Vocational
I have a right to your body.,Bullying,Vocational
"Just being a tease, you.",Bullying,Vocational
"Whether you say ""no,"" I still know you want it.",Bullying,Vocational
You cannot evade my approaches.,Bullying,Vocational
"Online and off, I'll pursue you until you cave.",Bullying,Vocational
I was forced to send those texts by you.,Bullying,Vocational
You're begging for it with how exposed your clothing is.,Bullying,Vocational
"Until you consent to my approaches, I won't stop.",Bullying,Vocational
Your use of those images is begging for it.,Bullying,Vocational
"Relax, don't be such a prude.",Bullying,Vocational
"If you don't comply with my demands, I'll make your life miserable.",Bullying,Vocational
I guess you enjoy how I talk to you.,Bullying,Vocational
You're only being deceptive.,Bullying,Vocational
"Until you consent to my approaches, I won't stop.",Bullying,Vocational
No one would ever like you since you're so unattractive.,Bullying,Vocational
I'm hoping you get harmed and vanish.,Bullying,Vocational
"You're despised by everyone, and you deserve it.",Bullying,Vocational
You should simply go away; you are useless.,Bullying,Vocational
I'll see to it that everyone is aware of your darkest secrets.,Bullying,Vocational
You'll never be successful in life.,Bullying,Vocational
Why don't you simply leave us alone and do us all a favor?,Bullying,Vocational
I find it hard to comprehend that you have pals.,Bullying,Vocational
"You are such a loser, it makes me uncomfortable.",Bullying,Vocational
Nobody is interested in you or your issues.,Bullying,Vocational
You take up too much room.,Bullying,Vocational
I would rather you never existed.,Bullying,Vocational
"Just kill yourself, please.",Bullying,Vocational
You are really unattractive and chubby.,Bullying,Vocational
You are too dimwitted to comprehend anything.,Bullying,Vocational
You are not wanted here.,Bullying,Vocational
Everyone around you is burdened by you.,Bullying,Vocational
You'll never be happy or in love.,Bullying,Vocational
"You are a freak, and freaks are despised.",Bullying,Vocational
Your life will be ruined by me.,Bullying,Vocational
You'll always be by yourself.,Bullying,Vocational
Everyone is making fun of you because you are a joke.,Bullying,Vocational
You are abhorrent.,Bullying,Vocational
I wish you pain.,Bullying,Vocational
You are such a wimp.,Bullying,Vocational
You only want people to notice you.,Bullying,Vocational
Nothing you say is taken seriously.,Bullying,Vocational
You bother me so much.,Bullying,Vocational
Being near you is unbearable to me.,Bullying,Vocational
You're an outcast with no pals.,Bullying,Vocational
You'll never match my caliber.,Bullying,Vocational
"In everything you do, you fail.",Bullying,Vocational
You are really pitiful.,Bullying,Vocational
I'm eager to witness your failure.,Bullying,Vocational
You are such a letdown.,Bullying,Vocational
"If you believe that anyone likes you, you are deluded.",Bullying,Vocational
"Just a waste of oxygen, you.",Bullying,Vocational
You will never be loved.,Bullying,Vocational
You are a natural freak.,Bullying,Vocational
Your monster status.,Bullying,Vocational
You're an outcast with no pals.,Bullying,Vocational
You'll never match my caliber.,Bullying,Vocational
"In everything you do, you fail.",Bullying,Vocational
You are really pitiful.,Bullying,Vocational
I'm eager to witness your failure.,Bullying,Vocational
You are such a letdown.,Bullying,Vocational
"Simply put, you are a burden to everyone around you.",Bullying,Vocational
Why are you even here?,Bullying,Vocational
You are not wanted here.,Bullying,Vocational
You'll never match my caliber.,Bullying,Vocational
You always fail so miserably.,Bullying,Vocational
I'm shocked by how stupid you are.,Bullying,Vocational
You have no chance.,Bullying,Vocational
You'll never be successful in life.,Bullying,Vocational
"You will certainly regret ever crossing me, I promise.",Bullying,Vocational
You are so vulnerable and frail.,Bullying,Vocational
What a coward you are.,Bullying,Vocational
You're a complete whiner.,Bullying,Vocational
All of your secrets will be revealed by me.,Bullying,Vocational
You are such a dupe.,Bullying,Vocational
"Just a waste of space, you.",Bullying,Vocational
You will never blend in.,Bullying,Vocational
You'll always be the odd one out.,Bullying,Vocational
I'll make sure that everyone is aware of how pitiful you are.,Bullying,Vocational
You're so simple to control.,Bullying,Vocational
